trigger,gamma_up,gamma_down,cap_up,cap_down,objective,feasible,mean_ratio_fixed,mean_ratio_fidic,max_ratio_fixed,min_improvement_fixed,mean_events,max_events,max_exposure,dom_fidic_count
1.2,0.1,0.03,0.025,0.008,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.03,0.025,0.01,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.03,0.025,0.012,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.03,0.025,0.015,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.035,0.02,0.008,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.035,0.02,0.01,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.035,0.02,0.012,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.035,0.02,0.015,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.035,0.025,0.008,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.035,0.025,0.01,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.035,0.025,0.012,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.035,0.025,0.015,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.04,0.02,0.008,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.04,0.02,0.01,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.04,0.02,0.012,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.04,0.02,0.015,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.04,0.025,0.008,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.04,0.025,0.01,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.04,0.025,0.012,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.04,0.025,0.015,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.045,0.02,0.008,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.045,0.02,0.01,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.045,0.02,0.012,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.045,0.02,0.015,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
1.2,0.1,0.045,0.025,0.008,1.0013082453319835,1,0.9407514409404829,1.0721279068490803,1.0227510298582556,-0.02275102985825561,1.6666666666666667,2,0.0016908130427927103,0
